Year,FarmID,Date,Week,Male_SWD,Female_SWD,Total_SWD,Drosophilids,Similar
2015,A,02/06/2015,23,0,0,0,1,0
2015,A,02/06/2015,23,0,0,0,5,0
2015,A,02/06/2015,23,0,0,0,0,0
2015,A,02/06/2015,23,0,0,0,1,0
2015,A,02/06/2015,23,0,0,0,5,0
2015,A,02/06/2015,23,0,0,0,2,0
2015,A,02/06/2015,23,0,0,0,0,0
2015,A,02/06/2015,23,0,0,0,1,0
2015,A,02/06/2015,23,0,0,0,6,0
2015,A,02/06/2015,23,0,0,0,0,0
2015,C,05/06/2015,23,0,0,0,0,0
2015,C,05/06/2015,23,0,0,0,1,1
2015,C,05/06/2015,23,0,0,0,0,0
2015,C,05/06/2015,23,0,0,0,1,0
2015,C,05/06/2015,23,0,0,0,4,0
2015,C,05/06/2015,23,0,0,0,0,0
2015,Z,05/06/2015,23,0,0,0,10,0
2015,Z,05/06/2015,23,0,0,0,2,0
2015,Z,05/06/2015,23,0,0,0,2,0
2015,A,09/06/2015,24,0,0,0,23,0
2015,A,09/06/2015,24,0,0,0,33,1
2015,A,09/06/2015,24,0,0,0,4,0
2015,A,09/06/2015,24,0,0,0,6,0
2015,A,09/06/2015,24,0,0,0,16,0
2015,A,09/06/2015,24,0,0,0,11,0
2015,A,09/06/2015,24,0,0,0,14,2
2015,A,09/06/2015,24,0,0,0,12,0
2015,A,09/06/2015,24,0,0,0,2,0
2015,A,09/06/2015,24,0,0,0,7,0
2015,B,09/06/2015,24,0,0,0,43,0
2015,B,09/06/2015,24,0,0,0,21,0
2015,B,09/06/2015,24,0,0,0,21,1
2015,B,09/06/2015,24,0,0,0,102,0
2015,B,09/06/2015,24,0,0,0,6,0
2015,B,09/06/2015,24,0,0,0,24,0
2015,B,09/06/2015,24,0,0,0,5,0
2015,B,09/06/2015,24,0,0,0,8,0
2015,D,09/06/2015,24,0,0,0,0,0
2015,D,09/06/2015,24,0,0,0,2,0
2015,D,09/06/2015,24,0,0,0,4,0
2015,D,09/06/2015,24,0,0,0,1,0
