Date,Min_Temp,Rain,Max_Temp,Total_SWD,Drosophilids,Male_SWD,Female_SWD,Similar,Week,Year
06/02/2015,6.7,1.6,14.9,0,6,0,0,0,6,2015
11/02/2015,9.7,0.1,15.4,125,345,72,53,19,7,2015
12/02/2015,5,0.4,12.8,5,150,3,2,3,7,2015
08/04/2015,12.8,0.3,18.7,2,317,2,1,13,15,2015
10/05/2015,11.8,12,16.6,1,82,0,1,4,20,2015
16/06/2015,12,0,21.2,2,47,0,2,2,25,2015
24/06/2015,11.3,0,19.7,0,56,0,0,1,26,2015
15/07/2015,3.9,0,17.7,2,176,1,1,6,29,2015
21/07/2015,8.7,0.3,18.9,1,60,1,0,3,30,2015
29/07/2015,7.4,0.9,16.7,3,132,1,2,5,31,2015
07/08/2015,6.6,0.5,17.6,2,322,1,1,2,32,2015
12/08/2015,4.2,0.5,12.8,8,70,4,4,2,33,2015
06/09/2015,0.7,0,15.6,0,33,0,0,2,37,2015
11/09/2015,8,5.6,16.4,33,135,22,11,19,37,2015
19/10/2015,6.6,0.1,12.3,34,385,19,15,44,43,2015
26/10/2015,10.2,1.8,13.3,33,129,15,18,19,44,2015
08/11/2015,6.7,0,17.9,0,7,0,0,1,46,2015
16/11/2015,5.7,0.3,11,14,66,11,3,5,47,2015
10/12/2015,2.9,0.1,13.4,36,329,29,7,37,50,2015
15/12/2015,9.1,2.4,12.4,5,39,4,2,1,51,2015
13/01/2016,-0.1,1.2,4.9,1,26,1,1,2,3,2016
21/01/2016,5.1,0.3,12.1,0,0,0,0,0,4,2016
28/01/2016,2.1,4.7,11.2,0,0,0,0,0,5,2016
06/02/2016,3.8,0,16.2,0,0,0,0,0,6,2016
11/02/2016,1.1,0,9.8,20,274,14,7,53,7,2016
18/02/2016,-0.5,0,7.1,0,5,0,0,0,8,2016
25/02/2016,-4.2,0,4.7,0,7,0,0,0,9,2016
03/03/2016,0.2,3.1,8.4,0,20,0,0,0,10,2016
08/03/2016,14.3,1.7,17.9,2,107,1,1,5,11,2016
17/03/2016,-2.3,0,8.3,0,77,0,0,0,12,2016
18/03/2016,-4,0,6.9,2,136,1,1,0,12,2016
24/03/2016,4.5,3.2,11.7,0,76,0,0,0,13,2016
31/03/2016,1.4,0,11.7,0,97,0,0,0,14,2016
02/04/2016,6.5,0.5,11.2,1,15,1,0,1,14,2016
14/04/2016,3.4,0.6,10.7,0,30,0,0,3,16,2016
21/04/2016,1.9,0,12.7,0,173,0,0,2,17,2016
28/04/2016,0.3,2.9,8.8,1,0,0,1,0,18,2016
05/05/2016,6.4,0,15.9,2,67,1,1,1,19,2016
10/05/2016,10.3,0,16,101,734,67,34,66,20,2016
19/05/2016,7,4.6,18,2,120,1,2,0,21,2016
25/05/2016,7.9,0,12,2,94,1,1,1,22,2016
07/06/2016,8.5,0,18.6,1,59,1,1,4,24,2016
15/06/2016,8.3,0.1,17.5,1,147,0,1,3,25,2016
22/06/2016,8.3,0,18.9,1,85,1,1,1,26,2016
23/06/2016,7.2,0.3,20.4,1,64,0,1,5,26,2016
29/06/2016,10.3,14.7,17.3,2,127,2,1,6,27,2016
01/07/2016,2.5,0.7,8.7,8,222,6,2,4,27,2016
04/07/2016,3.3,0.6,12,0,60,0,0,4,28,2016
09/07/2016,16.7,0.9,20.7,10,594,2,8,36,28,2016
13/07/2016,9.1,3.6,16.5,2,73,2,2,15,29,2016
14/07/2016,8.4,0.1,18.3,1,26,1,0,6,29,2016
20/07/2016,14.7,1.3,21,3,159,2,1,9,30,2016
27/07/2016,12.7,0.6,18.6,2,217,2,0,14,31,2016
06/08/2016,12.1,0,19,1,95,1,0,3,32,2016
17/08/2016,13.3,11.9,18.5,6,198,5,1,133,34,2016
24/08/2016,10.6,0,20.1,4,783,4,1,47,35,2016
31/08/2016,10.7,0.4,18.6,36,2310,21,15,187,36,2016
11/09/2016,3.2,0,9.8,8,160,8,2,13,38,2016
14/09/2016,11.9,0,19.3,36,839,20,16,48,38,2016
21/09/2016,8.1,6.5,16.3,36,460,22,14,29,39,2016
29/09/2016,9.5,0.3,15.7,140,731,83,57,53,40,2016
03/10/2016,2.9,0,10.1,0,6,0,0,0,41,2016
08/10/2016,10.5,2.5,14.8,4,327,3,1,145,41,2016
19/10/2016,4.4,0,12.6,53,382,42,12,37,43,2016
26/10/2016,10.3,0.1,14.5,26,345,13,13,40,44,2016
02/11/2016,-1.9,0,6.4,0,31,0,0,0,45,2016
03/11/2016,5.2,0,12.8,0,13,0,0,0,45,2016
16/11/2016,5.2,1,10.6,23,242,14,9,8,47,2016
23/11/2016,-0.8,0,7.6,2,53,1,1,5,48,2016
30/11/2016,-0.2,0,7.5,6,126,3,3,2,49,2016
05/12/2016,10,0,17.4,2,103,1,1,2,50,2016
10/12/2016,3.1,1.2,12.6,93,816,59,39,74,50,2016
11/01/2017,9,0,14.1,418,209,251,167,84,2,2017
08/02/2017,11.6,2.8,20.8,15,455,8,7,34,6,2017
05/03/2017,4.3,0,14.8,4,596,2,2,1,10,2017
10/04/2017,9.6,4.3,14.8,198,57,126,72,12,15,2017
19/04/2017,8.1,1.2,14.3,3,200,1,2,1,16,2017
26/04/2017,-1.1,0,9.7,29,447,14,15,1,17,2017
07/05/2017,11.9,0,18.1,10,473,5,5,23,19,2017
17/05/2017,6.5,1.2,16.9,7,846,2,6,15,20,2017
24/05/2017,9.1,0,20.2,9,690,5,6,11,21,2017
31/05/2017,6.4,0,18,11,1083,2,9,38,22,2017
09/06/2017,10.7,0,17.2,84,464,50,34,59,23,2017
12/06/2017,9,1.3,13.6,189,40,90,99,13,24,2017
14/06/2017,11.8,0,20.5,13,833,2,11,82,24,2017
21/06/2017,11,1.5,26.3,13,1970,5,8,138,25,2017
28/06/2017,10.8,7.4,14,17,1067,15,9,92,26,2017
06/07/2017,7.9,2.7,15.9,7,1259,2,5,145,27,2017
19/07/2017,9.3,9.7,19.5,16,1100,12,4,53,29,2017
26/07/2017,10.9,7.1,18.9,16,587,12,4,30,30,2017
